n1,n2,n3,n4,n5,n6
1,2,3,4,17,25
1,2,3,4,17,26
1,2,3,4,17,27
1,2,3,4,17,28
1,2,3,4,17,29
1,2,3,4,17,30
1,2,3,4,17,31
1,2,3,4,17,32
1,2,3,4,17,33
1,2,3,4,17,34
1,2,3,4,17,35
1,2,3,4,17,36
1,2,3,4,17,37
1,2,3,4,17,38
1,2,3,4,17,39
1,2,3,4,17,40
1,2,3,4,17,41
1,2,3,4,17,42
1,2,3,4,17,43
1,2,3,4,17,44
1,2,3,4,17,45
1,2,3,4,18,19
1,2,3,4,18,20
1,2,3,4,18,21
1,2,3,4,18,22
1,2,3,4,18,23
1,2,3,4,18,24
1,2,3,4,18,25
1,2,3,4,18,26
1,2,3,4,18,27
1,2,3,4,18,28
1,2,3,4,18,29
1,2,3,4,18,30
1,2,3,4,18,31
1,2,3,4,18,32
1,2,3,4,18,33
1,2,3,4,18,34
1,2,3,4,18,35
1,2,3,4,18,36
1,2,3,4,18,37
1,2,3,4,18,38
1,2,3,4,18,39
1,2,3,4,18,40
1,2,3,4,18,41
1,2,3,4,18,42
1,2,3,4,18,43
1,2,3,4,18,44
1,2,3,4,18,45
1,2,3,4,19,20
1,2,3,4,19,21
1,2,3,4,19,22
1,2,3,4,19,23
1,2,3,4,19,24
1,2,3,4,19,25
1,2,3,4,19,26
1,2,3,4,19,27
1,2,3,4,19,28
1,2,3,4,19,29
1,2,3,4,19,30
1,2,3,4,19,31
1,2,3,4,19,32
1,2,3,4,19,33
1,2,3,4,19,34
1,2,3,4,19,35
1,2,3,4,19,36
1,2,3,4,19,37
1,2,3,4,19,38
1,2,3,4,19,39
1,2,3,4,19,40
1,2,3,4,19,41
1,2,3,4,19,42
1,2,3,4,19,43
1,2,3,4,19,44
1,2,3,4,19,45
1,2,3,4,20,21
1,2,3,4,20,22
1,2,3,4,20,23
1,2,3,4,20,24
1,2,3,4,20,25
1,2,3,4,20,26
1,2,3,4,20,27
1,2,3,4,20,28
1,2,3,4,20,29
1,2,3,4,20,30
1,2,3,4,20,31
1,2,3,4,20,32
1,2,3,4,20,33
1,2,3,4,20,34
1,2,3,4,20,35
1,2,3,4,20,36
1,2,3,4,20,37
1,2,3,4,20,38
1,2,3,4,20,39
1,2,3,4,20,40
1,2,3,4,20,41
1,2,3,4,20,42
1,2,3,4,20,43
1,2,3,4,20,44
1,2,3,4,20,45
1,2,3,4,21,22
1,2,3,4,21,23
1,2,3,4,21,24
1,2,3,4,21,25
1,2,3,4,21,26
1,2,3,4,21,27
1,2,3,4,21,28
1,2,3,4,21,29
1,2,3,4,21,30
1,2,3,4,21,31
1,2,3,4,21,32
1,2,3,4,21,33
1,2,3,4,21,34
1,2,3,4,21,35
1,2,3,4,21,36
1,2,3,4,21,37
1,2,3,4,21,38
1,2,3,4,21,39
1,2,3,4,21,40
1,2,3,4,21,41
1,2,3,4,21,42
1,2,3,4,21,43
1,2,3,4,21,44
1,2,3,4,21,45
1,2,3,4,22,23
1,2,3,4,22,24
1,2,3,4,22,25
1,2,3,4,22,26
1,2,3,4,22,27
1,2,3,4,22,28
1,2,3,4,22,29
1,2,3,4,22,30
1,2,3,4,22,31
1,2,3,4,22,32
1,2,3,4,22,33
1,2,3,4,22,34
1,2,3,4,22,35
1,2,3,4,22,36
1,2,3,4,22,37
1,2,3,4,22,38
1,2,3,4,22,39
1,2,3,4,22,40
1,2,3,4,22,41
1,2,3,4,22,42
1,2,3,4,22,43
1,2,3,4,22,44
1,2,3,4,22,45
1,2,3,4,23,24
1,2,3,4,23,25
1,2,3,4,23,26
1,2,3,4,23,27
1,2,3,4,23,28
1,2,3,4,23,29
1,2,3,4,23,30
1,2,3,4,23,31
1,2,3,4,23,32
1,2,3,4,23,33
1,2,3,4,23,34
1,2,3,4,23,35
1,2,3,4,23,36
1,2,3,4,23,37
1,2,3,4,23,38
1,2,3,4,23,39
1,2,3,4,23,40
1,2,3,4,23,41
1,2,3,4,23,42
1,2,3,4,23,43
1,2,3,4,23,44
1,2,3,4,23,45
1,2,3,4,24,25
1,2,3,4,24,26
1,2,3,4,24,27
1,2,3,4,24,28
1,2,3,4,24,29
1,2,3,4,24,30
1,2,3,4,24,31
1,2,3,4,24,32
1,2,3,4,24,33
1,2,3,4,24,34
1,2,3,4,24,35
1,2,3,4,24,36
1,2,3,4,24,37
1,2,3,4,24,38
1,2,3,4,24,39
1,2,3,4,24,40
1,2,3,4,24,41
1,2,3,4,24,42
1,2,3,4,24,43
1,2,3,4,24,44
1,2,3,4,24,45
1,2,3,4,25,26
1,2,3,4,25,27
1,2,3,4,25,28
1,2,3,4,25,29
1,2,3,4,25,30
1,2,3,4,25,31
1,2,3,4,25,32
1,2,3,4,25,33
1,2,3,4,25,34
1,2,3,4,25,35
1,2,3,4,25,36
1,2,3,4,25,37
1,2,3,4,25,38
1,2,3,4,25,39
1,2,3,4,25,40
1,2,3,4,25,41
1,2,3,4,25,42
1,2,3,4,25,43
1,2,3,4,25,44
1,2,3,4,25,45
1,2,3,4,26,27
1,2,3,4,26,28
1,2,3,4,26,29
1,2,3,4,26,30
1,2,3,4,26,31
1,2,3,4,26,32
1,2,3,4,26,33
1,2,3,4,26,34
1,2,3,4,26,35
1,2,3,4,26,36
1,2,3,4,26,37
1,2,3,4,26,38
1,2,3,4,26,39
1,2,3,4,26,40
1,2,3,4,26,41
1,2,3,4,26,42
1,2,3,4,26,43
1,2,3,4,26,44
1,2,3,4,26,45
1,2,3,4,27,28
1,2,3,4,27,29
1,2,3,4,27,30
1,2,3,4,27,31
1,2,3,4,27,32
1,2,3,4,27,33
1,2,3,4,27,34
1,2,3,4,27,35
1,2,3,4,27,36
1,2,3,4,27,37
1,2,3,4,27,38
1,2,3,4,27,39
1,2,3,4,27,40
1,2,3,4,27,41
1,2,3,4,27,42
1,2,3,4,27,43
1,2,3,4,27,44
1,2,3,4,27,45
1,2,3,4,28,29
1,2,3,4,28,30
1,2,3,4,28,31
1,2,3,4,28,32
1,2,3,4,28,33
1,2,3,4,28,34
1,2,3,4,28,35
1,2,3,4,28,36
1,2,3,4,28,37
1,2,3,4,28,38
1,2,3,4,28,39
1,2,3,4,28,40
1,2,3,4,28,41
1,2,3,4,28,42
1,2,3,4,28,43
1,2,3,4,28,44
1,2,3,4,28,45
1,2,3,4,29,30
1,2,3,4,29,31
1,2,3,4,29,32
1,2,3,4,29,33
1,2,3,4,29,34
1,2,3,4,29,35
1,2,3,4,29,36
1,2,3,4,29,37
1,2,3,4,29,38
1,2,3,4,29,39
1,2,3,4,29,40
1,2,3,4,29,41
1,2,3,4,29,42
1,2,3,4,29,43
1,2,3,4,29,44
1,2,3,4,29,45
1,2,3,4,30,31
1,2,3,4,30,32
1,2,3,4,30,33
1,2,3,4,30,34
1,2,3,4,30,35
1,2,3,4,30,36
1,2,3,4,30,37
1,2,3,4,30,38
1,2,3,4,30,39
1,2,3,4,30,40
1,2,3,4,30,41
1,2,3,4,30,42
1,2,3,4,30,43
1,2,3,4,30,44
1,2,3,4,30,45
1,2,3,4,31,32
1,2,3,4,31,33
1,2,3,4,31,34
1,2,3,4,31,35
1,2,3,4,31,36
1,2,3,4,31,37
1,2,3,4,31,38
1,2,3,4,31,39
1,2,3,4,31,40
1,2,3,4,31,41
1,2,3,4,31,42
1,2,3,4,31,43
1,2,3,4,31,44
1,2,3,4,31,45
1,2,3,4,32,33
1,2,3,4,32,34
1,2,3,4,32,35
1,2,3,4,32,36
1,2,3,4,32,37
1,2,3,4,32,38
1,2,3,4,32,39
1,2,3,4,32,40
1,2,3,4,32,41
1,2,3,4,32,42
1,2,3,4,32,43
1,2,3,4,32,44
1,2,3,4,32,45
1,2,3,4,33,34
1,2,3,4,33,35
1,2,3,4,33,36
